split-a 20000 10000 
a1 0 2500 split-a 
a2 0 2500 split-a 
a3 0 2500 split-a 
a4 0 2500 split-a 
split-b 20000 10000 
b1 0 2500 split-b 
b2 0 2500 split-b 
b3 0 2500 split-b 
b4 0 2500 split-b 
split-a1 5000 2500 
a11 0 625 split-a1 
a12 0 625 split-a1 
a13 0 625 split-a1 
a14 0 625 split-a1 
split-b1 5000 2500 
b11 0 625 split-b1 
b12 0 625 split-b1 
b13 0 625 split-b1 
b14 0 625 split-b1 
b23 0 625 split-b2 
b24 0 625 split-b2 
llc41 15625 625 a31 b21 
rlc41 15625 625 a32 b23 
somme(lc41 ) llc41 and rlc41 
llc42 15625 625 a31 b22 
rlc42 15625 625 a32 b24 
somme(lc42 ) llc42 and rlc42 
llc43 15625 625 a33 b21 
rlc43 15625 625 a34 b23 
somme(lc43 ) llc43 and rlc43 
llc44 15625 625 a33 b22 
rlc44 15625 625 a34 b24 
somme(lc44 ) llc44 and rlc44 
fusion(lc4) lc41 lc42 lc43 lc44 
split-a4 5000 2500 
a41 0 625 split-a4 
a42 0 625 split-a4 
a43 0 625 split-a4 
a44 0 625 split-a4 
split-b4 5000 2500 
b41 0 625 split-b4 
b42 0 625 split-b4 
b43 0 625 split-b4 
b44 0 625 split-b4 
lrc41 15625 625 a41 b41 
rrc41 15625 625 a42 b43 
somme(rc41 ) lrc41 and rrc41 
lrc42 15625 625 a41 b42 
rrc42 15625 625 a42 b44 
somme(rc42 ) lrc42 and rrc42 
lrc43 15625 625 a43 b41 
rrc43 15625 625 a44 b43 
somme(rc43 ) lrc43 and rrc43 
lrc44 15625 625 a43 b42 
rrc44 15625 625 a44 b44 
somme(rc44 ) lrc44 and rrc44 
fusion(rc4) rc41 rc42 rc43 rc44 
somme(c4 ) lc4 and rc4 
fusion(c) c1 c2 c3 c4 
