split-a 500000 250000 
a11 0 10000 split-a 
a12 0 10000 split-a 
a13 0 10000 split-a 
a14 0 10000 split-a 
a15 0 10000 split-a 
a21 0 10000 split-a 
a22 0 10000 split-a 
a23 0 10000 split-a 
a24 0 10000 split-a 
a25 0 10000 split-a 
a31 0 10000 split-a 
a32 0 10000 split-a 
a33 0 10000 split-a 
a34 0 10000 split-a 
a35 0 10000 split-a 
a41 0 10000 split-a 
a42 0 10000 split-a 
a43 0 10000 split-a 
a44 0 10000 split-a 
a45 0 10000 split-a 
a51 0 10000 split-a 
a52 0 10000 split-a 
a53 0 10000 split-a 
a54 0 10000 split-a 
a55 0 10000 split-a 
split-b 500000 250000 
b11 0 10000 split-b 
b12 0 10000 split-b 
b13 0 10000 split-b 
b14 0 10000 split-b 
b15 0 10000 split-b 
b21 0 10000 split-b 
b22 0 10000 split-b 
b23 0 10000 split-b 
b24 0 10000 split-b 
b25 0 10000 split-b 
b31 0 10000 split-b 
b32 0 10000 split-b 
b33 0 10000 split-b 
b34 0 10000 split-b 
b35 0 10000 split-b 
b41 0 10000 split-b 
b42 0 10000 split-b 
b43 0 10000 split-b 
b44 0 10000 split-b 
b45 0 10000 split-b 
b51 0 10000 split-b 
b52 0 10000 split-b 
b53 0 10000 split-b 
b54 0 10000 split-b 
b55 0 10000 split-b 
C15 40000 10000 a11*b15 a12*b25 a13*b35 a14*b45 a15*b55
a21*b11 1000000 10000 a21 b11 
a22*b21 1000000 10000 a22 b21 
a23*b31 1000000 10000 a23 b31 
a24*b41 1000000 10000 a24 b41 
a25*b51 1000000 10000 a25 b51 
C21 40000 10000 a21*b11 a22*b21 a23*b31 a24*b41 a25*b51
a21*b12 1000000 10000 a21 b12 
a22*b22 1000000 10000 a22 b22 
a23*b32 1000000 10000 a23 b32 
a24*b42 1000000 10000 a24 b42 
a25*b52 1000000 10000 a25 b52 
C22 40000 10000 a21*b12 a22*b22 a23*b32 a24*b42 a25*b52
a21*b13 1000000 10000 a21 b13 
a22*b23 1000000 10000 a22 b23 
a23*b33 1000000 10000 a23 b33 
a24*b43 1000000 10000 a24 b43 
a25*b53 1000000 10000 a25 b53 
C23 40000 10000 a21*b13 a22*b23 a23*b33 a24*b43 a25*b53
a21*b14 1000000 10000 a21 b14 
a22*b24 1000000 10000 a22 b24 
a23*b34 1000000 10000 a23 b34 
a24*b44 1000000 10000 a24 b44 
a25*b54 1000000 10000 a25 b54 
C24 40000 10000 a21*b14 a22*b24 a23*b34 a24*b44 a25*b54
a21*b15 1000000 10000 a21 b15 
a22*b25 1000000 10000 a22 b25 
a23*b35 1000000 10000 a23 b35 
a24*b45 1000000 10000 a24 b45 
a25*b55 1000000 10000 a25 b55 
C25 40000 10000 a21*b15 a22*b25 a23*b35 a24*b45 a25*b55
a31*b11 1000000 10000 a31 b11 
a32*b21 1000000 10000 a32 b21 
a33*b31 1000000 10000 a33 b31 
a34*b41 1000000 10000 a34 b41 
a35*b51 1000000 10000 a35 b51 
C31 40000 10000 a31*b11 a32*b21 a33*b31 a34*b41 a35*b51
a31*b12 1000000 10000 a31 b12 
a32*b22 1000000 10000 a32 b22 
a33*b32 1000000 10000 a33 b32 
a34*b42 1000000 10000 a34 b42 
a35*b52 1000000 10000 a35 b52 
C32 40000 10000 a31*b12 a32*b22 a33*b32 a34*b42 a35*b52
a31*b13 1000000 10000 a31 b13 
a32*b23 1000000 10000 a32 b23 
a33*b33 1000000 10000 a33 b33 
a34*b43 1000000 10000 a34 b43 
a35*b53 1000000 10000 a35 b53 
C33 40000 10000 a31*b13 a32*b23 a33*b33 a34*b43 a35*b53
a31*b14 1000000 10000 a31 b14 
a32*b24 1000000 10000 a32 b24 
a33*b34 1000000 10000 a33 b34 
a34*b44 1000000 10000 a34 b44 
a35*b54 1000000 10000 a35 b54 
C34 40000 10000 a31*b14 a32*b24 a33*b34 a34*b44 a35*b54
a31*b15 1000000 10000 a31 b15 
a32*b25 1000000 10000 a32 b25 
a33*b35 1000000 10000 a33 b35 
a34*b45 1000000 10000 a34 b45 
a35*b55 1000000 10000 a35 b55 
C35 40000 10000 a31*b15 a32*b25 a33*b35 a34*b45 a35*b55
a41*b11 1000000 10000 a41 b11 
a42*b21 1000000 10000 a42 b21 
a43*b31 1000000 10000 a43 b31 
a44*b41 1000000 10000 a44 b41 
a45*b51 1000000 10000 a45 b51 
C41 40000 10000 a41*b11 a42*b21 a43*b31 a44*b41 a45*b51
a41*b12 1000000 10000 a41 b12 
a42*b22 1000000 10000 a42 b22 
a43*b32 1000000 10000 a43 b32 
a44*b42 1000000 10000 a44 b42 
a45*b52 1000000 10000 a45 b52 
C42 40000 10000 a41*b12 a42*b22 a43*b32 a44*b42 a45*b52
a41*b13 1000000 10000 a41 b13 
a42*b23 1000000 10000 a42 b23 
a43*b33 1000000 10000 a43 b33 
a44*b43 1000000 10000 a44 b43 
a45*b53 1000000 10000 a45 b53 
C43 40000 10000 a41*b13 a42*b23 a43*b33 a44*b43 a45*b53
a41*b14 1000000 10000 a41 b14 
a42*b24 1000000 10000 a42 b24 
a43*b34 1000000 10000 a43 b34 
a44*b44 1000000 10000 a44 b44 
a45*b54 1000000 10000 a45 b54 
C44 40000 10000 a41*b14 a42*b24 a43*b34 a44*b44 a45*b54
a41*b15 1000000 10000 a41 b15 
a42*b25 1000000 10000 a42 b25 
a43*b35 1000000 10000 a43 b35 
a44*b45 1000000 10000 a44 b45 
a45*b55 1000000 10000 a45 b55 
C45 40000 10000 a41*b15 a42*b25 a43*b35 a44*b45 a45*b55
a51*b11 1000000 10000 a51 b11 
a52*b21 1000000 10000 a52 b21 
a53*b31 1000000 10000 a53 b31 
a54*b41 1000000 10000 a54 b41 
a55*b51 1000000 10000 a55 b51 
C51 40000 10000 a51*b11 a52*b21 a53*b31 a54*b41 a55*b51
a51*b12 1000000 10000 a51 b12 
a52*b22 1000000 10000 a52 b22 
a53*b32 1000000 10000 a53 b32 
a54*b42 1000000 10000 a54 b42 
a55*b52 1000000 10000 a55 b52 
C52 40000 10000 a51*b12 a52*b22 a53*b32 a54*b42 a55*b52
a51*b13 1000000 10000 a51 b13 
a52*b23 1000000 10000 a52 b23 
a53*b33 1000000 10000 a53 b33 
a54*b43 1000000 10000 a54 b43 
a55*b53 1000000 10000 a55 b53 
C53 40000 10000 a51*b13 a52*b23 a53*b33 a54*b43 a55*b53
a51*b14 1000000 10000 a51 b14 
a52*b24 1000000 10000 a52 b24 
a53*b34 1000000 10000 a53 b34 
a54*b44 1000000 10000 a54 b44 
a55*b54 1000000 10000 a55 b54 
C54 40000 10000 a51*b14 a52*b24 a53*b34 a54*b44 a55*b54
a51*b15 1000000 10000 a51 b15 
a52*b25 1000000 10000 a52 b25 
a53*b35 1000000 10000 a53 b35 
a54*b45 1000000 10000 a54 b45 
a55*b55 1000000 10000 a55 b55 
C55 40000 10000 a51*b15 a52*b25 a53*b35 a54*b45 a55*b55
Fusion 500000 250000 C11 C12 C13 C14 C15 C21 C22 C23 C24 C25 C31 C32 C33 C34 C35 C41 C42 C43 C44 C45 C51 C52 C53 C54 C55 
